"year","state","county_name","party","candidatevotes"
2024,"North Carolina","County 0033","REPUBLICAN",95451
2024,"North Carolina","County 0033","DEMOCRAT",29357
2024,"North Dakota","County 0034","REPUBLICAN",4453
2024,"North Dakota","County 0034","DEMOCRAT",1550
2024,"Ohio","County 0035","REPUBLICAN",3438
2024,"Ohio","County 0035","DEMOCRAT",3156
2024,"Oklahoma","County 0036","REPUBLICAN",5656
2024,"Oklahoma","County 0036","DEMOCRAT",4585
2024,"Oregon","County 0037","REPUBLICAN",1333
2024,"Oregon","County 0037","DEMOCRAT",728
2024,"Pennsylvania","County 0038","REPUBLICAN",2964
2024,"Pennsylvania","County 0038","DEMOCRAT",614
2024,"Rhode Island","County 0039","REPUBLICAN",3929
2024,"Rhode Island","County 0039","DEMOCRAT",2348
2024,"South Carolina","County 0040","REPUBLICAN",7280
2024,"South Carolina","County 0040","DEMOCRAT",4550
2024,"South Dakota","County 0041","REPUBLICAN",15913
2024,"South Dakota","County 0041","DEMOCRAT",4030
2024,"Tennessee","County 0042","REPUBLICAN",8911
2024,"Tennessee","County 0042","DEMOCRAT",2090
2024,"Texas","County 0043","REPUBLICAN",18509
2024,"Texas","County 0043","DEMOCRAT",4988
2024,"Utah","County 0044","REPUBLICAN",3248
2024,"Utah","County 0044","DEMOCRAT",4243
2024,"Vermont","County 0045","REPUBLICAN",16384
2024,"Vermont","County 0045","DEMOCRAT",12438
2024,"Virginia","County 0046","REPUBLICAN",16904
2024,"Virginia","County 0046","DEMOCRAT",14075
2024,"Washington","County 0047","REPUBLICAN",3449
2024,"Washington","County 0047","DEMOCRAT",1254
2024,"West Virginia","County 0048","REPUBLICAN",18510
2024,"West Virginia","County 0048","DEMOCRAT",31747
2024,"Wisconsin","County 0049","REPUBLICAN",5337
2024,"Wisconsin","County 0049","DEMOCRAT",5186
2024,"Wyoming","County 0050","REPUBLICAN",17096
2024,"Wyoming","County 0050","DEMOCRAT",12896
2024,"Alabama","County 0051","REPUBLICAN",11598
2024,"Alabama","County 0051","DEMOCRAT",13699
2024,"Alaska","County 0052","REPUBLICAN",1907
2024,"Alaska","County 0052","DEMOCRAT",947
2024,"Arizona","County 0053","REPUBLICAN",12930
2024,"Arizona","County 0053","DEMOCRAT",5753
2024,"Arkansas","County 0054","REPUBLICAN",5036
2024,"Arkansas","County 0054","DEMOCRAT",2724
2024,"California","County 0055","REPUBLICAN",8392
2024,"California","County 0055","DEMOCRAT",2182
2024,"Colorado","County 0056","REPUBLICAN",10310
2024,"Colorado","County 0056","DEMOCRAT",12420
2024,"Connecticut","County 0057","REPUBLICAN",3307
2024,"Connecticut","County 0057","DEMOCRAT",2656
2024,"Delaware","County 0058","REPUBLICAN",3380
2024,"Delaware","County 0058","DEMOCRAT",2764
2024,"Florida","County 0059","REPUBLICAN",34918
2024,"Florida","County 0059","DEMOCRAT",13245
2024,"Georgia","County 0060","REPUBLICAN",6147
2024,"Georgia","County 0060","DEMOCRAT",10028
2024,"Hawaii","County 0061","REPUBLICAN",18255
2024,"Hawaii","County 0061","DEMOCRAT",11014
2024,"Idaho","County 0062","REPUBLICAN",327
2024,"Idaho","County 0062","DEMOCRAT",504
2024,"Illinois","County 0063","REPUBLICAN",3586
2024,"Illinois","County 0063","DEMOCRAT",941
2024,"Indiana","County 0064","REPUBLICAN",4565
2024,"Indiana","County 0064","DEMOCRAT",14664
2024,"Iowa","County 0065","REPUBLICAN",104922
2024,"Iowa","County 0065","DEMOCRAT",29010
2024,"Kansas","County 0066","REPUBLICAN",1764
2024,"Kansas","County 0066","DEMOCRAT",1723
2024,"Kentucky","County 0067","REPUBLICAN",27485
2024,"Kentucky","County 0067","DEMOCRAT",9430
2024,"Louisiana","County 0068","REPUBLICAN",17951
2024,"Louisiana","County 0068","DEMOCRAT",2741
2024,"Maine","County 0069","REPUBLICAN",103531
2024,"Maine","County 0069","DEMOCRAT",8876
2024,"Maryland","County 0070","REPUBLICAN",1462
2024,"Maryland","County 0070","DEMOCRAT",2206
2024,"Massachusetts","County 0071","REPUBLICAN",6223
2024,"Massachusetts","County 0071","DEMOCRAT",1756
2024,"Michigan","County 0072","REPUBLICAN",14869
2024,"Michigan","County 0072","DEMOCRAT",8054
2024,"Minnesota","County 0073","REPUBLICAN",946
2024,"Minnesota","County 0073","DEMOCRAT",822
2024,"Mississippi","County 0074","REPUBLICAN",630
2024,"Mississippi","County 0074","DEMOCRAT",1017
2024,"Missouri","County 0075","REPUBLICAN",1843
2024,"Missouri","County 0075","DEMOCRAT",2276
2024,"Montana","County 0076","REPUBLICAN",1473
2024,"Montana","County 0076","DEMOCRAT",1669
2024,"Nebraska","County 0077","REPUBLICAN",24148
2024,"Nebraska","County 0077","DEMOCRAT",27091
2024,"Nevada","County 0078","REPUBLICAN",17508
2024,"Nevada","County 0078","DEMOCRAT",6947
2024,"New Hampshire","County 0079","REPUBLICAN",4176
2024,"New Hampshire","County 0079","DEMOCRAT",5761
2024,"New Jersey","County 0080","REPUBLICAN",53480
2024,"New Jersey","County 0080","DEMOCRAT",10203
2024,"New Mexico","County 0081","REPUBLICAN",18144
2024,"New Mexico","County 0081","DEMOCRAT",5558
2024,"New York","County 0082","REPUBLICAN",3211
2024,"New York","County 0082","DEMOCRAT",3037
2024,"North Carolina","County 0083","REPUBLICAN",46113
2024,"North Carolina","County 0083","DEMOCRAT",4926
2024,"North Dakota","County 0084","REPUBLICAN",3775
2024,"North Dakota","County 0084","DEMOCRAT",2958
2024,"Ohio","County 0085","REPUBLICAN",3920
2024,"Ohio","County 0085","DEMOCRAT",3783
2024,"Oklahoma","County 0086","REPUBLICAN",11896
2024,"Oklahoma","County 0086","DEMOCRAT",15981
2024,"Oregon","County 0087","REPUBLICAN",3623
2024,"Oregon","County 0087","DEMOCRAT",2654
2024,"Pennsylvania","County 0088","REPUBLICAN",495
2024,"Pennsylvania","County 0088","DEMOCRAT",536
2024,"Rhode Island","County 0089","REPUBLICAN",2240
2024,"Rhode Island","County 0089","DEMOCRAT",1905
2024,"South Carolina","County 0090","REPUBLICAN",3017
2024,"South Carolina","County 0090","DEMOCRAT",2023
2024,"South Dakota","County 0091","REPUBLICAN",56286
2024,"South Dakota","County 0091","DEMOCRAT",18329
2024,"Tennessee","County 0092","REPUBLICAN",2255
2024,"Tennessee","County 0092","DEMOCRAT",780
2024,"Texas","County 0093","REPUBLICAN",4509
2024,"Texas","County 0093","DEMOCRAT",4281
2024,"Utah","County 0094","REPUBLICAN",2869
2024,"Utah","County 0094","DEMOCRAT",1556
2024,"Vermont","County 0095","REPUBLICAN",7376
2024,"Vermont","County 0095","DEMOCRAT",1809
2024,"Virginia","County 0096","REPUBLICAN",13555
2024,"Virginia","County 0096","DEMOCRAT",3789
2024,"Washington","County 0097","REPUBLICAN",1487
2024,"Washington","County 0097","DEMOCRAT",1473
2024,"West Virginia","County 0098","REPUBLICAN",1709
2024,"West Virginia","County 0098","DEMOCRAT",362
2024,"Wisconsin","County 0099","REPUBLICAN",2213
2024,"Wisconsin","County 0099","DEMOCRAT",1018
2024,"Wyoming","County 0100","REPUBLICAN",7168
2024,"Wyoming","County 0100","DEMOCRAT",1916
2024,"Alabama","County 0101","REPUBLICAN",1574
2024,"Alabama","County 0101","DEMOCRAT",147
2024,"Alaska","County 0102","REPUBLICAN",1996
2024,"Alaska","County 0102","DEMOCRAT",833
2024,"Arizona","County 0103","REPUBLICAN",27607
2024,"Arizona","County 0103","DEMOCRAT",6689
2024,"Arkansas","County 0104","REPUBLICAN",990
2024,"Arkansas","County 0104","DEMOCRAT",377
2024,"California","County 0105","REPUBLICAN",9340
2024,"California","County 0105","DEMOCRAT",4321
2024,"Colorado","County 0106","REPUBLICAN",11253
2024,"Colorado","County 0106","DEMOCRAT",5530
2024,"Connecticut","County 0107","REPUBLICAN",1365
2024,"Connecticut","County 0107","DEMOCRAT",2237
2024,"Delaware","County 0108","REPUBLICAN",4842
2024,"Delaware","County 0108","DEMOCRAT",3218
2024,"Florida","County 0109","REPUBLICAN",6666
2024,"Florida","County 0109","DEMOCRAT",3411
2024,"Georgia","County 0110","REPUBLICAN",595
2024,"Georgia","County 0110","DEMOCRAT",61
2024,"Hawaii","County 0111","REPUBLICAN",20845
2024,"Hawaii","County 0111","DEMOCRAT",7015
2024,"Idaho","County 0112","REPUBLICAN",5833
2024,"Idaho","County 0112","DEMOCRAT",640
2024,"Illinois","County 0113","REPUBLICAN",17474
2024,"Illinois","County 0113","DEMOCRAT",8701
2024,"Indiana","County 0114","REPUBLICAN",9318
2024,"Indiana","County 0114","DEMOCRAT",5477
2024,"Iowa","County 0115","REPUBLICAN",5942
2024,"Iowa","County 0115","DEMOCRAT",1773
2024,"Kansas","County 0116","REPUBLICAN",2232
2024,"Kansas","County 0116","DEMOCRAT",1600
2024,"Kentucky","County 0117","REPUBLICAN",2377
2024,"Kentucky","County 0117","DEMOCRAT",625
2024,"Louisiana","County 0118","REPUBLICAN",15242
2024,"Louisiana","County 0118","DEMOCRAT",3557
2024,"Maine","County 0119","REPUBLICAN",10371
2024,"Maine","County 0119","DEMOCRAT",4033
2024,"Maryland","County 0120","REPUBLICAN",12301
2024,"Maryland","County 0120","DEMOCRAT",8327
2024,"Massachusetts","County 0121","REPUBLICAN",26322
2024,"Massachusetts","County 0121","DEMOCRAT",4733
2024,"Michigan","County 0122","REPUBLICAN",20705
2024,"Michigan","County 0122","DEMOCRAT",10975
2024,"Minnesota","County 0123","REPUBLICAN",50791
2024,"Minnesota","County 0123","DEMOCRAT",5884
2024,"Mississippi","County 0124","REPUBLICAN",4490
2024,"Mississippi","County 0124","DEMOCRAT",777
2024,"Missouri","County 0125","REPUBLICAN",5673
2024,"Missouri","County 0125","DEMOCRAT",1457
2024,"Montana","County 0126","REPUBLICAN",22233
2024,"Montana","County 0126","DEMOCRAT",9010
2024,"Nebraska","County 0127","REPUBLICAN",3493
2024,"Nebraska","County 0127","DEMOCRAT",2215
2024,"Nevada","County 0128","REPUBLICAN",5523
2024,"Nevada","County 0128","DEMOCRAT",4006
2024,"New Hampshire","County 0129","REPUBLICAN",2222
2024,"New Hampshire","County 0129","DEMOCRAT",1199
2024,"New Jersey","County 0130","REPUBLICAN",5072
2024,"New Jersey","County 0130","DEMOCRAT",1254
2024,"New Mexico","County 0131","REPUBLICAN",3485
2024,"New Mexico","County 0131","DEMOCRAT",774
2024,"New York","County 0132","REPUBLICAN",5427
2024,"New York","County 0132","DEMOCRAT",4171
2024,"North Carolina","County 0133","REPUBLICAN",3100
2024,"North Carolina","County 0133","DEMOCRAT",1145
2024,"North Dakota","County 0134","REPUBLICAN",4811
2024,"North Dakota","County 0134","DEMOCRAT",2263
2024,"Ohio","County 0135","REPUBLICAN",788
2024,"Ohio","County 0135","DEMOCRAT",299
2024,"Oklahoma","County 0136","REPUBLICAN",12696
2024,"Oklahoma","County 0136","DEMOCRAT",3396
2024,"Oregon","County 0137","REPUBLICAN",932
2024,"Oregon","County 0137","DEMOCRAT",981
2024,"Pennsylvania","County 0138","REPUBLICAN",2632
2024,"Pennsylvania","County 0138","DEMOCRAT",2052
2024,"Rhode Island","County 0139","REPUBLICAN",4138
2024,"Rhode Island","County 0139","DEMOCRAT",3883
2024,"South Carolina","County 0140","REPUBLICAN",2386
2024,"South Carolina","County 0140","DEMOCRAT",656
2024,"South Dakota","County 0141","REPUBLICAN",48728
2024,"South Dakota","County 0141","DEMOCRAT",26201
2024,"Tennessee","County 0142","REPUBLICAN",5401
2024,"Tennessee","County 0142","DEMOCRAT",4150
2024,"Texas","County 0143","REPUBLICAN",5732
2024,"Texas","County 0143","DEMOCRAT",3621
2024,"Utah","County 0144","REPUBLICAN",5570
2024,"Utah","County 0144","DEMOCRAT",2411
2024,"Vermont","County 0145","REPUBLICAN",463
2024,"Vermont","County 0145","DEMOCRAT",117
2024,"Virginia","County 0146","REPUBLICAN",13881
2024,"Virginia","County 0146","DEMOCRAT",3432
2024,"Washington","County 0147","REPUBLICAN",1638
2024,"Washington","County 0147","DEMOCRAT",682
2024,"West Virginia","County 0148","REPUBLICAN",20532
2024,"West Virginia","County 0148","DEMOCRAT",5641
2024,"Wisconsin","County 0149","REPUBLICAN",1892
2024,"Wisconsin","County 0149","DEMOCRAT",817
2024,"Wyoming","County 0150","REPUBLICAN",1666
2024,"Wyoming","County 0150","DEMOCRAT",1529
2024,"Alabama","County 0151","REPUBLICAN",25430
2024,"Alabama","County 0151","DEMOCRAT",23832
2024,"Alaska","County 0152","REPUBLICAN",996
2024,"Alaska","County 0152","DEMOCRAT",911
2024,"Arizona","County 0153","REPUBLICAN",88270
2024,"Arizona","County 0153","DEMOCRAT",46442
2024,"Arkansas","County 0154","REPUBLICAN",71700
2024,"Arkansas","County 0154","DEMOCRAT",39121
2024,"California","County 0155","REPUBLICAN",2365
2024,"California","County 0155","DEMOCRAT",2447
2024,"Colorado","County 0156","REPUBLICAN",14204
2024,"Colorado","County 0156","DEMOCRAT",16090
2024,"Connecticut","County 0157","REPUBLICAN",692
2024,"Connecticut","County 0157","DEMOCRAT",533
2024,"Delaware","County 0158","REPUBLICAN",1360
2024,"Delaware","County 0158","DEMOCRAT",1350
2024,"Florida","County 0159","REPUBLICAN",2098
2024,"Florida","County 0159","DEMOCRAT",3574
2024,"Georgia","County 0160","REPUBLICAN",261
2024,"Georgia","County 0160","DEMOCRAT",171
2024,"Hawaii","County 0161","REPUBLICAN",4086
2024,"Hawaii","County 0161","DEMOCRAT",1203
2024,"Idaho","County 0162","REPUBLICAN",1514
2024,"Idaho","County 0162","DEMOCRAT",856
2024,"Illinois","County 0163","REPUBLICAN",3189
2024,"Illinois","County 0163","DEMOCRAT",1308
2024,"Indiana","County 0164","REPUBLICAN",2416
2024,"Indiana","County 0164","DEMOCRAT",1416
2024,"Iowa","County 0165","REPUBLICAN",2642
2024,"Iowa","County 0165","DEMOCRAT",1861
2024,"Kansas","County 0166","REPUBLICAN",1673
2024,"Kansas","County 0166","DEMOCRAT",521
2024,"Kentucky","County 0167","REPUBLICAN",9999
2024,"Kentucky","County 0167","DEMOCRAT",8990
2024,"Louisiana","County 0168","REPUBLICAN",51887
2024,"Louisiana","County 0168","DEMOCRAT",24068
2024,"Maine","County 0169","REPUBLICAN",39062
2024,"Maine","County 0169","DEMOCRAT",9158
2024,"Maryland","County 0170","REPUBLICAN",6484
2024,"Maryland","County 0170","DEMOCRAT",3900
2024,"Massachusetts","County 0171","REPUBLICAN",8412
2024,"Massachusetts","County 0171","DEMOCRAT",9868
2024,"Michigan","County 0172","REPUBLICAN",6810
2024,"Michigan","County 0172","DEMOCRAT",4884
2024,"Minnesota","County 0173","REPUBLICAN",19999
2024,"Minnesota","County 0173","DEMOCRAT",6808
2024,"Mississippi","County 0174","REPUBLICAN",69646
2024,"Mississippi","County 0174","DEMOCRAT",40180
2024,"Missouri","County 0175","REPUBLICAN",4603
2024,"Missouri","County 0175","DEMOCRAT",2173
2024,"Montana","County 0176","REPUBLICAN",5416
2024,"Montana","County 0176","DEMOCRAT",1755
2024,"Nebraska","County 0177","REPUBLICAN",19726
2024,"Nebraska","County 0177","DEMOCRAT",6849
2024,"Nevada","County 0178","REPUBLICAN",2670
2024,"Nevada","County 0178","DEMOCRAT",1734
2024,"New Hampshire","County 0179","REPUBLICAN",13104
2024,"New Hampshire","County 0179","DEMOCRAT",7889
2024,"New Jersey","County 0180","REPUBLICAN",3186
2024,"New Jersey","County 0180","DEMOCRAT",1630
2024,"New Mexico","County 0181","REPUBLICAN",878
2024,"New Mexico","County 0181","DEMOCRAT",838
2024,"New York","County 0182","REPUBLICAN",1405
2024,"New York","County 0182","DEMOCRAT",1512
2024,"North Carolina","County 0183","REPUBLICAN",819
2024,"North Carolina","County 0183","DEMOCRAT",654
2024,"North Dakota","County 0184","REPUBLICAN",10013
2024,"North Dakota","County 0184","DEMOCRAT",5085
2024,"Ohio","County 0185","REPUBLICAN",21064
2024,"Ohio","County 0185","DEMOCRAT",12925
2024,"Oklahoma","County 0186","REPUBLICAN",11962
2024,"Oklahoma","County 0186","DEMOCRAT",4005
2024,"Oregon","County 0187","REPUBLICAN",4904
2024,"Oregon","County 0187","DEMOCRAT",5651
2024,"Pennsylvania","County 0188","REPUBLICAN",8685
2024,"Pennsylvania","County 0188","DEMOCRAT",532
2024,"Rhode Island","County 0189","REPUBLICAN",27256
2024,"Rhode Island","County 0189","DEMOCRAT",19568
2024,"South Carolina","County 0190","REPUBLICAN",614
2024,"South Carolina","County 0190","DEMOCRAT",467
2024,"South Dakota","County 0191","REPUBLICAN",21122
2024,"South Dakota","County 0191","DEMOCRAT",10990
2024,"Tennessee","County 0192","REPUBLICAN",13926
2024,"Tennessee","County 0192","DEMOCRAT",12941
2024,"Texas","County 0193","REPUBLICAN",4221
2024,"Texas","County 0193","DEMOCRAT",1412
2024,"Utah","County 0194","REPUBLICAN",50298
2024,"Utah","County 0194","DEMOCRAT",15838
2024,"Vermont","County 0195","REPUBLICAN",28113
2024,"Vermont","County 0195","DEMOCRAT",15020
2024,"Virginia","County 0196","REPUBLICAN",2222
2024,"Virginia","County 0196","DEMOCRAT",203
2024,"Washington","County 0197","REPUBLICAN",8933
2024,"Washington","County 0197","DEMOCRAT",8304
2024,"West Virginia","County 0198","REPUBLICAN",5810
2024,"West Virginia","County 0198","DEMOCRAT",6120
2024,"Wisconsin","County 0199","REPUBLICAN",1279
2024,"Wisconsin","County 0199","DEMOCRAT",347
2024,"Wyoming","County 0200","REPUBLICAN",1840
2024,"Wyoming","County 0200","DEMOCRAT",2168
2024,"Alabama","County 0201","REPUBLICAN",2370
2024,"Alabama","County 0201","DEMOCRAT",1124
2024,"Alaska","County 0202","REPUBLICAN",1629
2024,"Alaska","County 0202","DEMOCRAT",488
2024,"Arizona","County 0203","REPUBLICAN",8330
2024,"Arizona","County 0203","DEMOCRAT",3753
2024,"Arkansas","County 0204","REPUBLICAN",19379
2024,"Arkansas","County 0204","DEMOCRAT",9190
2024,"California","County 0205","REPUBLICAN",7884
2024,"California","County 0205","DEMOCRAT",1471
2024,"Colorado","County 0206","REPUBLICAN",20338
2024,"Colorado","County 0206","DEMOCRAT",8117
2024,"Connecticut","County 0207","REPUBLICAN",7436
2024,"Connecticut","County 0207","DEMOCRAT",3149
2024,"Delaware","County 0208","REPUBLICAN",38323
2024,"Delaware","County 0208","DEMOCRAT",16460
2024,"Florida","County 0209","REPUBLICAN",1012
2024,"Florida","County 0209","DEMOCRAT",420
2024,"Georgia","County 0210","REPUBLICAN",9835
2024,"Georgia","County 0210","DEMOCRAT",4539
2024,"Hawaii","County 0211","REPUBLICAN",5204
2024,"Hawaii","County 0211","DEMOCRAT",2916
2024,"Idaho","County 0212","REPUBLICAN",1679
2024,"Idaho","County 0212","DEMOCRAT",4082
2024,"Illinois","County 0213","REPUBLICAN",11732
2024,"Illinois","County 0213","DEMOCRAT",3261
2024,"Indiana","County 0214","REPUBLICAN",17657
2024,"Indiana","County 0214","DEMOCRAT",3828
2024,"Iowa","County 0215","REPUBLICAN",11180
2024,"Iowa","County 0215","DEMOCRAT",7512
2024,"Kansas","County 0216","REPUBLICAN",1809
2024,"Kansas","County 0216","DEMOCRAT",550
2024,"Kentucky","County 0217","REPUBLICAN",5968
2024,"Kentucky","County 0217","DEMOCRAT",893
2024,"Louisiana","County 0218","REPUBLICAN",5236
2024,"Louisiana","County 0218","DEMOCRAT",4759
2024,"Maine","County 0219","REPUBLICAN",25373
2024,"Maine","County 0219","DEMOCRAT",12102
2024,"Maryland","County 0220","REPUBLICAN",670
2024,"Maryland","County 0220","DEMOCRAT",512
2024,"Massachusetts","County 0221","REPUBLICAN",53020
2024,"Massachusetts","County 0221","DEMOCRAT",21778
2024,"Michigan","County 0222","REPUBLICAN",13517
2024,"Michigan","County 0222","DEMOCRAT",4523
2024,"Minnesota","County 0223","REPUBLICAN",2234
2024,"Minnesota","County 0223","DEMOCRAT",1072
2024,"Mississippi","County 0224","REPUBLICAN",23977
2024,"Mississippi","County 0224","DEMOCRAT",20081
2024,"Missouri","County 0225","REPUBLICAN",22125
2024,"Missouri","County 0225","DEMOCRAT",3946
2024,"Montana","County 0226","REPUBLICAN",4605
2024,"Montana","County 0226","DEMOCRAT",2115
2024,"Nebraska","County 0227","REPUBLICAN",5423
2024,"Nebraska","County 0227","DEMOCRAT",4859
2024,"Nevada","County 0228","REPUBLICAN",923
2024,"Nevada","County 0228","DEMOCRAT",308
2024,"New Hampshire","County 0229","REPUBLICAN",1392
2024,"New Hampshire","County 0229","DEMOCRAT",770
2024,"New Jersey","County 0230","REPUBLICAN",3961
2024,"New Jersey","County 0230","DEMOCRAT",1142
2024,"New Mexico","County 0231","REPUBLICAN",2088
2024,"New Mexico","County 0231","DEMOCRAT",789
2024,"New York","County 0232","REPUBLICAN",1718
2024,"New York","County 0232","DEMOCRAT",2066
2024,"North Carolina","County 0233","REPUBLICAN",16531
2024,"North Carolina","County 0233","DEMOCRAT",2558
2024,"North Dakota","County 0234","REPUBLICAN",2631
2024,"North Dakota","County 0234","DEMOCRAT",609
2024,"Ohio","County 0235","REPUBLICAN",3011
2024,"Ohio","County 0235","DEMOCRAT",1729
2024,"Oklahoma","County 0236","REPUBLICAN",4574
2024,"Oklahoma","County 0236","DEMOCRAT",918
2024,"Oregon","County 0237","REPUBLICAN",11200
2024,"Oregon","County 0237","DEMOCRAT",3889
2024,"Pennsylvania","County 0238","REPUBLICAN",9350
2024,"Pennsylvania","County 0238","DEMOCRAT",2429
2024,"Rhode Island","County 0239","REPUBLICAN",8281
2024,"Rhode Island","County 0239","DEMOCRAT",1907
2024,"South Carolina","County 0240","REPUBLICAN",17539
2024,"South Carolina","County 0240","DEMOCRAT",4633
2024,"South Dakota","County 0241","REPUBLICAN",2006
2024,"South Dakota","County 0241","DEMOCRAT",507
2024,"Tennessee","County 0242","REPUBLICAN",10160
2024,"Tennessee","County 0242","DEMOCRAT",1708
2024,"Texas","County 0243","REPUBLICAN",21914
2024,"Texas","County 0243","DEMOCRAT",11851
2024,"Utah","County 0244","REPUBLICAN",7906
2024,"Utah","County 0244","DEMOCRAT",4198
2024,"Vermont","County 0245","REPUBLICAN",6340
2024,"Vermont","County 0245","DEMOCRAT",2588
2024,"Virginia","County 0246","REPUBLICAN",49968
2024,"Virginia","County 0246","DEMOCRAT",38669
2024,"Washington","County 0247","REPUBLICAN",4023
2024,"Washington","County 0247","DEMOCRAT",1432
2024,"West Virginia","County 0248","REPUBLICAN",3539
2024,"West Virginia","County 0248","DEMOCRAT",1631
2024,"Wisconsin","County 0249","REPUBLICAN",3010
2024,"Wisconsin","County 0249","DEMOCRAT",1888
2024,"Wyoming","County 0250","REPUBLICAN",5701
2024,"Wyoming","County 0250","DEMOCRAT",1186
2024,"Alabama","County 0251","REPUBLICAN",21947
2024,"Alabama","County 0251","DEMOCRAT",3008
2024,"Alaska","County 0252","REPUBLICAN",8097
2024,"Alaska","County 0252","DEMOCRAT",5535
2024,"Arizona","County 0253","REPUBLICAN",23674
2024,"Arizona","County 0253","DEMOCRAT",10866
2024,"Arkansas","County 0254","REPUBLICAN",1742
2024,"Arkansas","County 0254","DEMOCRAT",926
2024,"California","County 0255","REPUBLICAN",13097
2024,"California","County 0255","DEMOCRAT",8253
2024,"Colorado","County 0256","REPUBLICAN",7818
2024,"Colorado","County 0256","DEMOCRAT",5006
2024,"Connecticut","County 0257","REPUBLICAN",2823
2024,"Connecticut","County 0257","DEMOCRAT",3911
2024,"Delaware","County 0258","REPUBLICAN",13598
2024,"Delaware","County 0258","DEMOCRAT",9780
2024,"Florida","County 0259","REPUBLICAN",66310
2024,"Florida","County 0259","DEMOCRAT",14749
2024,"Georgia","County 0260","REPUBLICAN",2819
2024,"Georgia","County 0260","DEMOCRAT",2144
2024,"Hawaii","County 0261","REPUBLICAN",1543
2024,"Hawaii","County 0261","DEMOCRAT",496
2024,"Idaho","County 0262","REPUBLICAN",26583
2024,"Idaho","County 0262","DEMOCRAT",11835
2024,"Illinois","County 0263","REPUBLICAN",4070
2024,"Illinois","County 0263","DEMOCRAT",3393
2024,"Indiana","County 0264","REPUBLICAN",4585
2024,"Indiana","County 0264","DEMOCRAT",964
2024,"Iowa","County 0265","REPUBLICAN",3693
2024,"Iowa","County 0265","DEMOCRAT",2828
2024,"Kansas","County 0266","REPUBLICAN",1486
2024,"Kansas","County 0266","DEMOCRAT",683
